# FKCTX_COUNTS 1
# chunk_count=322253
# corpus_sha256=6f363cf9acc1efc0bf7bad645d0fb693a6e08bf3110fbdadcfc123a9e9612b6f
# database_sha256=991a13b8552748ea2c35fb229446809869a0ceee14ba0107a65351c8527efbc2
# seed_sha256=1ca65d164a833af40de728f5d9d8edd831cca8177516f72285ed2d0429a707eb
# sentence_count=248802
# tokenizer_version=1
kind	previous_surface	next_surface	count
U	-	飲んで	238
U	-	どっち	237
U	-	パソコン	237
U	-	分かる	237
U	-	遠く	237
U	-	悪	236
U	-	誰にも	236
U	-	市	235
U	-	ニー	234
U	-	嫌	234
U	-	教育	234
U	-	隣	234
U	-	馬	234
U	-	世話	233
U	-	街	233
U	-	言わない	233
U	-	２人	233
U	-	ずに	232
U	-	スポーツ	232
U	-	結局	232
U	-	いただけ	231
U	-	とした	231
U	-	やっと	231
U	-	まるで	230
U	-	平和	230
U	-	本当に	230
U	-	湖	230
U	-	作る	229
U	-	着く	229
U	-	あらゆる	228
U	-	知る	228
U	-	運動	228
U	-	かけて	227
U	-	つき	227
U	-	件	227
U	-	休暇	227
U	-	機械	227
U	-	涙	227
U	-	痛い	227
U	-	かけた	226
U	-	コンサート	226
U	-	ジム	226
U	-	できて	225
U	-	コ	225
U	-	床	225
U	-	選手	225
U	-	いろいろ	224
U	-	ベッド	224
U	-	出した	224
U	-	愛して	224
U	-	状況	224
U	-	知らなかった	224
U	-	貸し	224
U	-	お茶	223
U	-	そういう	223
U	-	一杯	223
U	-	以外	223
U	-	出身	223
U	-	向かって	223
U	-	森	223
U	-	生まれた	223
U	-	ひどく	222
U	-	京都	222
U	-	地震	222
U	-	将来	222
U	-	良く	222
U	-	かわいい	221
U	-	こんなに	221
U	-	用	221
U	-	神	220
U	-	空気	220
U	-	美	220
U	-	おり	219
U	-	じゃないか	219
U	-	星	219
U	-	生まれ	219
U	-	遊び	219
U	-	ことになって	218
U	-	どんなに	218
U	-	値段	218
U	-	島	218
U	-	どこか	217
U	-	ましょうか	217
U	-	対する	217
U	-	ことにした	216
U	-	まもなく	216
U	-	カナダ	216
U	-	サッカー	216
U	-	一日中	216
U	-	ぎ	215
U	-	去年	215
U	-	我慢	215
U	-	目的	215
U	-	趣味	215
U	-	６時	215
U	-	ラジオ	214
U	-	味	214
U	-	学ぶ	214
U	-	はじめ	213
U	-	出かける	213
U	-	得意	213
U	-	遅く	213
U	-	二度	212
U	-	何度	212
U	-	偶然	212
U	-	働く	212
U	-	年間	212
U	-	お腹	211
U	-	なりました	211
U	-	確か	211
U	-	経済	211
U	-	休み	210
U	-	原因	210
U	-	毎朝	210
U	-	腕	210
U	-	ダメ	209
U	-	ミ	209
U	-	昼食	209
U	-	決めた	209
U	-	起きた	209
U	-	壁	208
U	-	ボール	207
U	-	僕ら	207
U	-	赤い	207
U	-	ことができた	206
U	-	何も	206
U	-	走って	206
U	-	コート	205
U	-	会合	205
U	-	忘れない	205
U	-	自動車	205
U	-	行きました	205
U	-	近い	205
U	-	たとえ	204
U	-	はっきり	204
U	-	初めて	204
U	-	大統領	204
U	-	歴史	204
U	-	牛乳	204
U	-	社会	204
U	-	警官	204
U	-	受け	203
U	-	自然	203
U	-	どうしても	202
U	-	光	202
U	-	利用	202
U	-	小さい	202
U	-	機会	202
U	-	ばか	201
U	-	スキー	201
U	-	暑い	201
U	-	もらい	200
U	-	クリスマス	200
U	-	ドイツ	200
U	-	半	200
U	-	客	200
U	-	旅	200
U	-	週末	200
U	-	シー	199
U	-	置いて	199
U	-	おかげで	198
U	-	おります	198
U	-	ことはない	198
U	-	しい	198
U	-	ひとり	198
U	-	ほか	198
U	-	れる	198
U	-	アメリカ人	198
U	-	ヨーロッパ	198
U	-	歯	198
U	-	すっかり	197
U	-	起きて	197
U	-	遊んで	197
U	-	なかなか	196
U	-	なくてはならない	196
U	-	乗って	196
U	-	年齢	196
U	-	教会	196
U	-	規則	196
U	-	読書	196
U	-	ことができなかった	195
U	-	たいてい	195
U	-	たった	195
U	-	ジョー	195
U	-	安い	195
U	-	眠って	195
U	-	若者	195
U	-	詩	195
U	-	かも	194
U	-	というのは	194
U	-	法律	194
U	-	リンゴ	193
U	-	喜んで	193
U	-	完全	193
U	-	最高	193
U	-	送って	193
U	-	残って	192
U	-	熱	192
U	-	過ごした	192
U	-	１人	192
U	-	しまいました	191
U	-	もらえます	191
U	-	ボブ	191
U	-	援助	191
U	-	暮らし	191
U	-	白い	191
U	-	能力	191
U	-	財布	191
U	-	連絡	191
U	-	せい	190
U	-	不可能	190
U	-	出して	190
U	-	単語	190
U	-	状態	190
U	-	砂糖	190
U	-	人気	189
U	-	横	189
U	-	生	189
U	-	都市	189
U	-	関して	189
U	-	いれば	188
U	-	飼って	188
U	-	ことになる	187
U	-	レ	187
U	-	入れ	187
U	-	分かった	187
U	-	影響	187
U	-	明らか	187
U	-	物の	187
U	-	紙	187
U	-	週間	187
U	-	３年	187
U	-	３時	187
U	-	だめ	186
U	-	ようにして	186
U	-	態度	186
U	-	命	185
U	-	忘れた	185
U	-	普段	185
U	-	知識	185
U	-	かせ	184
U	-	出て	184
U	-	当然	184
U	-	後ろ	184
U	-	荷物	184
U	-	頃	184
U	-	うまい	183
U	-	それら	183
U	-	叔父	183
U	-	結婚した	183
U	-	座って	182
U	-	新	182
U	-	歌手	182
U	-	解決	182
U	-	飲んだ	182
U	-	万	181
U	-	忠告	181
U	-	あそこ	180
U	-	あれば	180
U	-	かし	180
U	-	きました	180
U	-	ちゃんと	180
U	-	めっちゃ	180
U	-	スープ	180
U	-	ド	180
U	-	歩いた	180
U	-	歩く	180
U	-	死ぬ	180
U	-	生きて	180
U	-	リス	179
U	-	帰った	179
U	-	来年	179
U	-	よる	178
U	-	ドイツ語	178
U	-	住所	178
U	-	常	178
U	-	海外	178
U	-	火事	178
U	-	７時	178
U	-	そのよう	177
U	-	借り	177
U	-	冊	177
U	-	回	177
U	-	守る	177
U	-	次第	177
U	-	種	177
U	-	約	177
U	-	イタリア	176
U	-	奴	176
U	-	掃除	176
U	-	終わり	176
U	-	翻訳	176
U	-	頼んだ	176
U	-	かかる	175
U	-	たがって	175
U	-	だろうか	175
U	-	勝つ	175
U	-	学者	175
U	-	暇	175
U	-	泳ぎ	175
U	-	電気	175
U	-	電話して	175
U	-	人口	174
U	-	働いた	174
U	-	才能	174
U	-	持つ	174
U	-	議論	174
U	-	おいしい	173
U	-	わね	173
U	-	僕たち	173
U	-	性	173
U	-	続けた	173
U	-	開けて	173
U	-	いら	172
U	-	お願い	172
U	-	こっち	172
U	-	なくなって	172
U	-	中国	172
U	-	分かり	172
U	-	到着	172
U	-	勇気	172
U	-	寝て	172
U	-	弁護士	172
U	-	息	172
U	-	もらって	171
U	-	丘	171
U	-	代わり	171
U	-	感じた	171
U	-	教室	171
U	-	泣き	171
U	-	落ちた	171
U	-	言えば	171
U	-	関する	171
U	-	いるか	170
U	-	ことができない	169
U	-	とった	169
U	-	ナイフ	169
U	-	与えた	169
U	-	今晩	169
U	-	大いに	169
U	-	泥棒	169
U	-	覚えて	169
U	-	財産	169
U	-	つい	168
U	-	つけた	168
U	-	事業	168
U	-	何人	168
U	-	外出	168
U	-	嵐	168
U	-	苦手	168
U	-	むしろ	167
U	-	マ	167
U	-	取る	167
U	-	失敗した	167
U	-	曲	167
U	-	起こる	167
U	-	黙って	167
U	-	３人	167
U	-	そろそろ	166
U	-	もちろん	166
U	-	やめた	166
U	-	メール	166
U	-	上司	166
U	-	大阪	166
U	-	来ない	166
U	-	椅子	166
U	-	田舎	166
U	-	しばらく	165
U	-	やり方	165
U	-	結婚して	165
U	-	やめて	164
U	-	一週間	164
U	-	乗る	164
U	-	多分	164
U	-	工場	164
U	-	止め	164
U	-	秋	164
U	-	誤り	164
U	-	過去	164
U	-	長い間	164
U	-	高校	164
U	-	てく	163
U	-	もって	163
U	-	ようになった	163
U	-	立ち	163
U	-	給料	163
U	-	３日	163
U	-	くない	162
U	-	ごく	162
U	-	政治家	162
U	-	正確	162
U	-	雑誌	162
U	-	青い	162
U	-	こういう	161
U	-	されました	161
U	-	として	161
U	-	兄弟	161
U	-	夏休み	161
U	-	大事	161
U	-	実行	161
U	-	希望	161
U	-	迎え	161
U	-	上げ	160
U	-	周り	160
U	-	指	160
U	-	石	160
U	-	素晴らしい	160
U	-	雨が降って	160
U	-	ら	159
U	-	わら	159
U	-	地図	159
U	-	笑い	159
U	-	鉛筆	159
U	-	１つ	159
U	-	とこ	158
U	-	ヶ月	158
U	-	噂	158
U	-	怒り	158
U	-	患者	158
U	-	深い	158
U	-	面倒	158
U	-	かく	157
U	-	どのように	157
U	-	トイレ	157
U	-	与え	157
U	-	作家	157
U	-	恋	157
U	-	罪	157
U	-	過ぎ	157
U	-	いたします	156
U	-	とる	156
U	-	ギター	156
U	-	住む	156
U	-	品	156
U	-	思わない	156
U	-	行為	156
U	-	野菜	156
U	-	首	156
U	-	したくない	155
U	-	できた	155
U	-	キス	155
U	-	働き	155
U	-	可能性	155
U	-	合格	155
U	-	向け	155
U	-	国民	155
U	-	特に	155
U	-	背が高い	155
U	-	走る	155
U	-	雲	155
U	-	うそ	154
U	-	予約	154
U	-	台所	154
U	-	安全	154
U	-	期待	154
U	-	痛み	154
U	-	落ち	154
U	-	できるだけ	153
U	-	やつ	153
U	-	ネクタイ	153
U	-	出かけた	153
U	-	出す	153
U	-	切符	153
U	-	取った	153
U	-	地域	153
U	-	いくつか	152
U	-	マイク	152
U	-	信	152
U	-	塩	152
U	-	子ども	152
U	-	少ない	152
U	-	泣いて	152
U	-	演説	152
U	-	祖父	152
U	-	起	152
U	-	お互いに	151
U	-	ますます	151
U	-	失った	151
U	-	失礼	151
U	-	楽しかった	151
U	-	練習	151
U	-	表現	151
U	-	マイル	150
U	-	不注意	150
U	-	不足	150
U	-	使った	150
U	-	全体	150
U	-	子供達	150
U	-	着て	150
U	-	考えた	150
U	-	調子	150
U	-	かつて	149
U	-	だけでなく	149
U	-	なんと	149
U	-	クラブ	149
U	-	存在	149
U	-	政治	149
U	-	続けて	149
U	-	進んで	149
U	-	１０時	149
U	-	こない	148
U	-	ごろ	148
U	-	どういう	148
U	-	わかって	148
U	-	ページ	148
U	-	体重	148
U	-	判断	148
U	-	収入	148
U	-	白	148
U	-	釣り	148
U	-	開いて	148
U	-	お店	147
U	-	カ	147
U	-	信じる	147
U	-	修理	147
U	-	出席	147
U	-	出発した	147
U	-	呼んで	147
U	-	心配して	147
U	-	気に入って	147
U	-	起きる	147
U	-	すごい	146
U	-	すでに	146
U	-	事務所	146
U	-	伝え	146
U	-	冷蔵庫	146
U	-	得	146
U	-	書類	146
U	-	程度	146
U	-	立派	146
U	-	そうです	145
U	-	勉強した	145
U	-	夢中	145
U	-	尋ねた	145
U	-	形	145
U	-	携帯	145
U	-	死んで	145
U	-	ありがとうございます	144
U	-	だろ	144
U	-	なくなる	144
U	-	喫煙	144
U	-	少なくとも	144
U	-	招待	144
U	-	有	144
U	-	毎年	144
U	-	池	144
U	-	泳ぐ	144
U	-	熱心	144
U	-	結構	144
U	-	がって	143
U	-	ことができます	143
U	-	ごと	143
U	-	しっかり	143
U	-	のど	143
U	-	主	143
U	-	互い	143
U	-	奥さん	143
U	-	帰り	143
U	-	暗	143
U	-	権利	143
U	-	決め	143
U	-	ありました	142
U	-	おいた	142
U	-	かに	142
U	-	たばこ	142
U	-	ちゃ	142
U	-	ボタン	142
U	-	交通	142
U	-	参加	142
U	-	台風	142
U	-	困って	142
U	-	宇宙	142
U	-	少しも	142
U	-	怖い	142
